task_id,v1_status,v1_reward,v1_terminal_reason,v22_status,v22_reward,v22_terminal_reason,pair_outcome,source_run_file
BrowserDraw,failure,0.0,invalid_actor_output,failure,0.0,invalid_actor_output,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
BrowserMaze,failure,0.0,invalid_actor_output,failure,0.0,recovery_exhausted,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
BrowserMultiply,failure,0.0,step_budget_exhausted,failure,0.0,insufficient_new_evidence,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
ExpenseAddMultiple,failure,0.0,invalid_actor_output,failure,0.0,step_budget_exhausted,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
ExpenseAddMultipleFromGallery,failure,0.0,invalid_actor_output,failure,0.0,unsafe_repeated_action_after_recovery,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
ExpenseAddMultipleFromMarkor,failure,0.0,invalid_actor_output,failure,0.0,insufficient_new_evidence,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
ExpenseDeleteDuplicates2,failure,0.0,invalid_actor_output,success,1.0,official_success_without_agent_finish,improved,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
ExpenseDeleteMultiple,failure,0.0,unsupported_action_capability,failure,0.0,insufficient_new_evidence,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
ExpenseDeleteMultiple2,failure,0.0,invalid_actor_output,failure,0.0,step_budget_exhausted,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
FilesDeleteFile,failure,0.0,invalid_actor_output,failure,0.0,step_budget_exhausted,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
MarkorDeleteAllNotes,failure,0.0,unsupported_action_capability,failure,0.0,recovery_exhausted,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
MarkorDeleteNewestNote,failure,0.0,unsupported_action_capability,success,1.0,recovery_exhausted,improved,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
MarkorDeleteNote,failure,0.0,invalid_actor_output,failure,0.0,recovery_exhausted,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
MarkorMergeNotes,failure,0.0,invalid_actor_output,failure,0.0,step_budget_exhausted,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
MarkorTranscribeReceipt,failure,0.0,step_budget_exhausted,failure,0.0,insufficient_new_evidence,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
OsmAndFavorite,failure,0.0,invalid_actor_output,failure,0.0,unsafe_repeated_action_after_recovery,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-20260817/runs.jsonl
SimpleCalendarAddOneEventRelativeDay,failure,0.0,invalid_actor_output,failure,0.0,step_budget_exhausted,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
SimpleCalendarAnyEventsOnDate,failure,0.0,invalid_actor_output,success,1.0,official_success_without_agent_finish,improved,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
SimpleCalendarDeleteEvents,failure,0.0,invalid_actor_output,success,1.0,official_success_without_agent_finish,improved,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
SimpleCalendarEventsInNextWeek,failure,0.0,invalid_actor_output,failure,0.0,unsafe_repeated_action_after_recovery,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
SimpleCalendarEventsInTimeRange,failure,0.0,invalid_actor_output,success,1.0,official_success_without_agent_finish,improved,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
SimpleCalendarFirstEventAfterStartTime,failure,0.0,action_execution_failed,success,1.0,official_success_without_agent_finish,improved,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
SportsTrackerActivitiesOnDate,failure,0.0,step_budget_exhausted,failure,0.0,invalid_actor_output,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
SportsTrackerActivityDuration,failure,0.0,actor_proposed_complete,failure,0.0,insufficient_new_evidence,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
SportsTrackerTotalDistanceForCategoryOverInterval,failure,0.0,step_budget_exhausted,failure,0.0,insufficient_new_evidence,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
SystemBluetoothTurnOff,failure,0.0,invalid_actor_output,success,1.0,official_success_without_agent_finish,improved,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
SystemBrightnessMin,failure,0.0,invalid_actor_output,failure,0.0,invalid_actor_output,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
SystemWifiTurnOn,failure,0.0,invalid_actor_output,failure,0.0,invalid_actor_output,both_failed,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
TasksHighPriorityTasks,failure,0.0,invalid_actor_output,success,1.0,official_success_without_agent_finish,improved,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
TasksIncompleteTasksOnDate,failure,0.0,invalid_actor_output,success,1.0,official_success_without_agent_finish,improved,artifacts/evaluation/androidworld-v22-final-frozen36-continuation5-network-restored-20260817/runs.jsonl
