task,step,recovery_id,level,trigger,blocked_action,tree_used,new_evidence,chosen_ui_element,fallback_reason,replan,changed_action,executed,executed_action,final_reward,rescued,strict_rescue,same_blocked_action,insufficient_new_evidence,misfire
BrowserMaze,9,1,action,progress_verifier_stalled,LONG_PRESS:7:15,True,coordinate/editable match: Maze Puzzle,"{""bounds"": [0, 330, 1082, 2339], ""class_name"": ""android.webkit.WebView"", ""label"": ""Maze Puzzle"", ""resource_id"": """"}",,CLICK_POINT:7:15,True,True,CLICK_POINT,0.0,False,False,False,False,False
BrowserMaze,10,2,subgoal,progress_verifier_stalled,CLICK_POINT:7:15,True,coordinate/editable match: Maze Puzzle,"{""bounds"": [0, 330, 1082, 2339], ""class_name"": ""android.webkit.WebView"", ""label"": ""Maze Puzzle"", ""resource_id"": """"}",,CLICK_POINT:2:11,True,True,CLICK_POINT,0.0,False,False,False,False,False
BrowserMultiply,3,1,action,two_consecutive_unchanged_screens,CLICK_POINT:9:22,True,UI Tree supplied no element supporting the candidate action,,,WAIT,True,False,,0.0,False,False,False,True,False
ExpenseAddMultipleFromGallery,2,1,action,progress_verifier_stalled,OPEN_APP:simple gallery pro,True,UI Tree supplied no element supporting the candidate action,,UI Tree supplied insufficient new evidence; OPEN_APP[simple gallery pro] is instead grounded by the frozen task/subgoal state.,OPEN_APP:simple gallery pro,False,False,,0.0,False,False,True,True,False
ExpenseAddMultipleFromGallery,2,2,subgoal,action_recovery_repeated_blocked_action,OPEN_APP:simple gallery pro,True,UI Tree supplied no element supporting the candidate action,,UI Tree supplied insufficient new evidence; OPEN_APP[simple gallery pro] is instead grounded by the frozen task/subgoal state.,OPEN_APP:simple gallery pro,False,False,,0.0,False,False,True,True,False
ExpenseAddMultipleFromMarkor,10,1,action,progress_verifier_regressed,SWIPE:up,True,UI Tree supplied no element supporting the candidate action,,,SWIPE:up,False,False,,0.0,False,False,True,True,False
ExpenseDeleteMultiple,7,1,action,revisited_same_screen,CLICK_POINT:12:7,True,UI Tree supplied no element supporting the candidate action,,,CLICK_POINT:12:14,True,True,CLICK_POINT,0.0,False,False,False,True,False
FilesDeleteFile,16,1,action,revisited_same_screen,CLICK_POINT:9:2,False,,,,,,False,,0.0,False,False,False,False,False
MarkorDeleteAllNotes,5,1,action,repeated_similar_action,LONG_PRESS:4:11,True,coordinate/editable match: Delete,"{""bounds"": [870, 138, 975, 264], ""class_name"": ""android.widget.TextView"", ""label"": ""Delete"", ""resource_id"": ""net.gsantner.markor:id/action_delete_selected_items""}",,CLICK_POINT:12:2,True,True,CLICK_POINT,0.0,False,False,False,False,False
MarkorDeleteAllNotes,6,2,subgoal,revisited_same_screen,CLICK_POINT:12:2,True,coordinate/editable match: More options,"{""bounds"": [975, 138, 1080, 264], ""class_name"": ""android.widget.ImageView"", ""label"": ""More options"", ""resource_id"": """"}",,CLICK_POINT:10:19,True,True,CLICK_POINT,0.0,False,False,False,False,False
MarkorDeleteNewestNote,4,1,action,revisited_same_screen,LONG_PRESS:6:15,True,coordinate/editable match: Delete,"{""bounds"": [870, 138, 975, 264], ""class_name"": ""android.widget.TextView"", ""label"": ""Delete"", ""resource_id"": ""net.gsantner.markor:id/action_delete_selected_items""}",,CLICK_POINT:12:3,True,True,CLICK_POINT,1.0,False,False,False,False,False
MarkorDeleteNewestNote,5,2,subgoal,revisited_same_screen,CLICK_POINT:12:3,True,coordinate/editable match: OK,"{""bounds"": [718, 1406, 886, 1548], ""class_name"": ""android.widget.Button"", ""label"": ""OK"", ""resource_id"": ""android:id/button1""}",,CLICK_POINT:10:18,True,True,CLICK_POINT,1.0,True,True,False,False,False
MarkorDeleteNote,3,1,action,repeated_similar_action,LONG_PRESS:7:13,True,coordinate/editable match: net.gsantner.markor:id/main__view_pager_container,"{""bounds"": [0, 275, 1080, 2190], ""class_name"": ""androidx.viewpager.widget.ViewPager"", ""label"": ""net.gsantner.markor:id/main__view_pager_container"", ""resource_id"": ""net.gsantner.markor:id/main__view_pager_container""}",,CLICK_POINT:7:15,True,True,CLICK_POINT,0.0,False,False,False,False,False
MarkorDeleteNote,6,2,subgoal,revisited_same_screen,CLICK_POINT:7:13,True,coordinate/editable match: net.gsantner.markor:id/document__fragment__edit__text_actions_bar__scrolling_parent,"{""bounds"": [0, 2216, 1080, 2337], ""class_name"": ""android.widget.HorizontalScrollView"", ""label"": ""net.gsantner.markor:id/document__fragment__edit__text_actions_bar__scrolling_parent"", ""resource_id"": ""net.gsantner.markor:id/document__fragment__edit__text_actions_bar__scrolling_parent""}",,CLICK_POINT:7:28,True,True,CLICK_POINT,0.0,False,False,False,False,False
MarkorMergeNotes,10,1,action,revisited_same_screen,CLICK_POINT:7:15,True,coordinate/editable match: Save,"{""bounds"": [765, 138, 870, 264], ""class_name"": ""android.widget.TextView"", ""label"": ""Save"", ""resource_id"": ""net.gsantner.markor:id/action_save""}",,CLICK_POINT:13:26,True,True,CLICK_POINT,0.0,False,False,False,False,False
MarkorTranscribeReceipt,2,1,action,progress_verifier_regressed,CLICK_POINT:8:20,True,UI Tree supplied no element supporting the candidate action,,,CLICK_POINT:6:13,True,False,,0.0,False,False,False,True,False
OsmAndFavorite,2,1,action,progress_verifier_stalled,OPEN_APP:osmand,True,UI Tree supplied no element supporting the candidate action,,UI Tree supplied insufficient new evidence; OPEN_APP[osmand] is instead grounded by the frozen task/subgoal state.,OPEN_APP:osmand,False,False,,0.0,False,False,True,True,False
OsmAndFavorite,2,2,subgoal,action_recovery_repeated_blocked_action,OPEN_APP:osmand,True,UI Tree supplied no element supporting the candidate action,,UI Tree supplied insufficient new evidence; OPEN_APP[osmand] is instead grounded by the frozen task/subgoal state.,OPEN_APP:osmand,False,False,,0.0,False,False,True,True,False
SimpleCalendarDeleteEvents,10,1,action,two_consecutive_unchanged_screens,CLICK_POINT:10:3,True,coordinate/editable match: Yes,"{""bounds"": [758, 1254, 926, 1380], ""class_name"": ""android.widget.Button"", ""label"": ""Yes"", ""resource_id"": ""android:id/button1""}",,CLICK_POINT:11:17,True,True,CLICK_POINT,1.0,True,True,False,False,False
SimpleCalendarEventsInNextWeek,5,1,action,repeated_similar_action,CLICK_POINT:1:5,True,coordinate/editable match: androidx.viewpager.widget.b,"{""bounds"": [0, 296, 1080, 2337], ""class_name"": ""androidx.viewpager.widget.b"", ""label"": """", ""resource_id"": """"}",,CLICK_POINT:1:5,False,False,,0.0,False,False,True,False,False
SimpleCalendarEventsInNextWeek,5,2,subgoal,action_recovery_repeated_blocked_action,CLICK_POINT:1:5,True,coordinate/editable match: androidx.viewpager.widget.b,"{""bounds"": [0, 296, 1080, 2337], ""class_name"": ""androidx.viewpager.widget.b"", ""label"": """", ""resource_id"": """"}",,CLICK_POINT:1:5,False,False,,0.0,False,False,True,False,False
